名称,住所,緯度,経度
富山市篁牛人記念美術館,日本、〒930-0881 富山県富山市安養坊１０００ 富山市篁牛人記念美術館,36.7090295,137.1887
高岡市美術館,日本、〒933-0056 富山県高岡市中川１丁目１−３０ 高岡市美術館 ２F,36.7512183,137.026517
青井記念館美術館〔富山県立高岡工芸高等学校附属〕,日本、〒933-0056 富山県高岡市中川１丁目１−２０,36.7507448,137.026914
黒部市美術館,日本、〒938-0041 富山県黒部市堀切１０３５,36.8818038,137.4251153
砺波市美術館,日本、〒939-1383 富山県砺波市高道１４５−１,36.6400222,136.9636279
松村外次郎記念庄川美術館,日本、〒932-0305 富山県砺波市庄川町金屋１０６６,36.572394,136.994807
南砺市立福光美術館,日本、〒939-1626 富山県南砺市法林寺２０１０,36.573152,136.85229
石川県九谷焼美術館,日本、〒922-0861 石川県加賀市大聖寺地方町１−１０−１３,36.302787,136.310215
石川県七尾美術館,日本、〒926-0855 石川県七尾市小丸山台１丁目１,37.0446489,136.9535572
石川県立美術館,日本、〒920-0963 石川県金沢市出羽町２−１,36.5601882,136.661171
石川県能登島ガラス美術館,日本、〒926-0211 石川県七尾市能登島向田町125部10番地,37.137516,136.9965712
金沢21世紀美術館,日本、〒920-8509 石川県金沢市広坂１丁目２−１,36.5608713,136.6585251
福井県立美術館,日本、〒910-0017 福井県福井市文京３丁目１６−１ 福井県立美術館,36.0786335,136.2154956
福井市美術館,日本、〒918-8112 福井県福井市下馬３丁目１１１１ 福井市美術館アートラボふくい,36.0390244,136.2340211
福井市愛宕坂茶道美術館,日本、〒918-8007 福井県福井市足羽１丁目８−５,36.0599692,136.2111116
山梨県立美術館,日本、〒400-0065 山梨県甲府市貢川１丁目４−２７,35.6603887,138.5374096
笛吹市立青楓美術館,日本、〒405-0051 山梨県笛吹市一宮町北野呂３−３,35.660765,138.705985
長野県立美術館,日本、〒380-0801 長野県長野市箱清水１丁目４−４,36.661575,138.191018
松本市美術館,日本、〒390-0811 長野県松本市中央４丁目２−２２,36.231628,137.976497
飯田市美術博物館,日本、〒395-0034 長野県飯田市追手町２丁目６５５−７,35.5119811,137.8305148
飯田市川本喜八郎人形美術館,日本、〒395-0044 長野県飯田市本町１丁目２,35.5149389,137.8256306
小諸高原美術館,日本、〒384-0041 長野県小諸市菱平２８０５−１,36.343822,138.420402
小諸市立小山敬三美術館,日本、〒384-0804 長野県小諸市丁２２１,36.32819,138.4149635
佐久市立近代美術館,日本、〒385-0011 長野県佐久市猿久保３５−５,36.2556882,138.483802
佐久市立天来記念館,日本、〒384-2202 長野県佐久市望月３０５−２,36.265272,138.361486
安曇野市豊科近代美術館,日本、〒399-8205 長野県安曇野市豊科５６０９−３,36.3051397,137.9067343
安曇野高橋節郎記念美術館,日本、〒399-8302 長野県安曇野市穂高北穂高４０８−１,36.354633,137.891387
田淵行男記念館,日本、〒399-8201 長野県安曇野市豊科南穂高５０７８−２,36.325584,137.904001
北アルプス展望美術館,日本、〒399-8602 長野県北安曇郡池田町会染７７８２,36.385757,137.895931
信州新町美術館,日本、〒381-2404 長野県長野市信州新町上条８８−３,36.5719444,138.0205556
須坂版画美術館・平塚運一版画美術館,日本、〒382-0000 長野県須坂市野辺１３８６−８,36.637283,138.318743
諏訪市美術館,日本、〒392-0027 長野県諏訪市湖岸通り４丁目１−１４,36.047774,138.113131
諏訪市原田泰治美術館,日本、〒392-0010 長野県諏訪市渋崎１７９２−３７５,36.038968,138.0983189
八ヶ岳美術館,日本、〒391-0100 長野県諏訪郡原村１７２１７−１６１１,35.968076,138.276802
梅野記念絵画館・ふれあい館,日本、〒389-0406 長野県東御市八重原９３５−１,36.323804,138.322161
おぶせミュージアム,日本、〒381-0201 長野県上高井郡小布施町小布施５９５,36.6982932,138.31896
静岡県立美術館,日本、〒422-8002 静岡県静岡市駿河区谷田５３−２,34.9920045,138.4456738
静岡市美術館,日本、〒420-0852 静岡県静岡市葵区紺屋町１７−１ 葵タワー 3F,34.972585,138.386495
静岡市東海道広重美術館,日本、〒421-3103 静岡県静岡市清水区由比２９７−１,35.1080032,138.56711
静岡市立芹沢銈介美術館,日本、〒422-8033 静岡県静岡市駿河区登呂５丁目１０−５,34.9550988,138.4082031
海野光弘版画記念館,日本、〒427-0037 静岡県島田市河原２丁目１６,34.8323771,138.1564862
浜松市美術館,日本、〒430-0947 静岡県浜松市中区松城町１００−１,34.711829,137.72374
浜松市秋野不矩美術館,日本、〒431-3314 静岡県浜松市天竜区二俣町二俣１３０,34.8648587,137.8192858
掛川市二の丸美術館,日本、〒436-0079 静岡県掛川市掛川１１４２−１,34.775889,138.014541
岐阜県美術館,日本、〒500-8368 岐阜県岐阜市宇佐４丁目１−１−２２,35.4013791,136.730214
岐阜県現代陶芸美術館,日本、〒507-0801 岐阜県多治見市東町４丁目２−５,35.3307944,137.1549222
加藤栄三・東一記念美術館,日本、〒500-8003 岐阜県岐阜市大宮町１丁目46 岐阜公園内,35.4349867,136.775157
羽島市竹鼻町屋ギャラリー,日本、岐阜県羽島市,35.3199066,136.7033655
大垣市守屋多々志美術館,日本、〒503-0887 岐阜県大垣市郭町２丁目１２,35.360268,136.617363
